;x,z,eta,B,A,P,Rh,sigma,xl,xr,beta
2300.0,-2.84,3.1578947368421053,50.0,157.89473684210526,56.31578947368421,2.803738317757009,50,-25.0,25.0,1
2300.0,-2.84,3.4736842105263155,50.0,173.68421052631578,56.94736842105263,3.0499075785582255,50,-25.0,25.0,1
2300.0,-2.84,3.789473684210526,50.0,189.4736842105263,57.578947368421055,3.2906764168190126,50,-25.0,25.0,1
2300.0,-2.84,4.105263157894736,50.0,205.26315789473682,58.21052631578947,3.5262206148282096,50,-25.0,25.0,1
2300.0,-2.84,4.421052631578947,50.0,221.05263157894734,58.84210526315789,3.7567084078711983,50,-25.0,25.0,1
2300.0,-2.84,4.7368421052631575,50.0,236.84210526315786,59.473684210526315,3.9823008849557517,50,-25.0,25.0,1
2300.0,-2.84,5.052631578947368,50.0,252.6315789473684,60.10526315789474,4.203152364273205,50,-25.0,25.0,1
2300.0,-2.84,5.368421052631579,50.0,268.42105263157896,60.73684210526316,4.419410745233969,50,-25.0,25.0,1
2300.0,-2.84,5.684210526315789,50.0,284.2105263157895,61.368421052631575,4.631217838765009,50,-25.0,25.0,1
2300.0,-2.84,6.0,50.0,300.0,62.0,4.838709677419355,50,-25.0,25.0,1
2400.0,-2.92,0.0,50.0,0.0,50.0,0.0,50,-25.0,25.0,1
2400.0,-2.92,0.3157894736842105,50.0,15.789473684210526,50.63157894736842,0.31185031185031187,50,-25.0,25.0,1
2400.0,-2.92,0.631578947368421,50.0,31.57894736842105,51.26315789473684,0.6160164271047227,50,-25.0,25.0,1
2400.0,-2.92,0.9473684210526315,50.0,47.368421052631575,51.89473684210526,0.9127789046653144,50,-25.0,25.0,1
2400.0,-2.92,1.263157894736842,50.0,63.1578947368421,52.526315789473685,1.2024048096192383,50,-25.0,25.0,1
2400.0,-2.92,1.5789473684210527,50.0,78.94736842105263,53.1578947368421,1.4851485148514851,50,-25.0,25.0,1
2400.0,-2.92,1.894736842105263,50.0,94.73684210526315,53.78947368421053,1.761252446183953,50,-25.0,25.0,1
2400.0,-2.92,2.2105263157894735,50.0,110.52631578947367,54.421052631578945,2.0309477756286265,50,-25.0,25.0,1
2400.0,-2.92,2.526315789473684,50.0,126.3157894736842,55.05263157894737,2.294455066921606,50,-25.0,25.0,1
2400.0,-2.92,2.8421052631578947,50.0,142.10526315789474,55.68421052631579,2.551984877126654,50,-25.0,25.0,1
2400.0,-2.92,3.1578947368421053,50.0,157.89473684210526,56.31578947368421,2.803738317757009,50,-25.0,25.0,1
2400.0,-2.92,3.4736842105263155,50.0,173.68421052631578,56.94736842105263,3.0499075785582255,50,-25.0,25.0,1
2400.0,-2.92,3.789473684210526,50.0,189.4736842105263,57.578947368421055,3.2906764168190126,50,-25.0,25.0,1
2400.0,-2.92,4.105263157894736,50.0,205.26315789473682,58.21052631578947,3.5262206148282096,50,-25.0,25.0,1
2400.0,-2.92,4.421052631578947,50.0,221.05263157894734,58.84210526315789,3.7567084078711983,50,-25.0,25.0,1
2400.0,-2.92,4.7368421052631575,50.0,236.84210526315786,59.473684210526315,3.9823008849557517,50,-25.0,25.0,1
2400.0,-2.92,5.052631578947368,50.0,252.6315789473684,60.10526315789474,4.203152364273205,50,-25.0,25.0,1
2400.0,-2.92,5.368421052631579,50.0,268.42105263157896,60.73684210526316,4.419410745233969,50,-25.0,25.0,1
2400.0,-2.92,5.684210526315789,50.0,284.2105263157895,61.368421052631575,4.631217838765009,50,-25.0,25.0,1
2400.0,-2.92,6.0,50.0,300.0,62.0,4.838709677419355,50,-25.0,25.0,1
2500.0,-3.0,0.0,50.0,0.0,50.0,0.0,50,-25.0,25.0,1
2500.0,-3.0,0.3157894736842105,50.0,15.789473684210526,50.63157894736842,0.31185031185031187,50,-25.0,25.0,1
2500.0,-3.0,0.631578947368421,50.0,31.57894736842105,51.26315789473684,0.6160164271047227,50,-25.0,25.0,1
2500.0,-3.0,0.9473684210526315,50.0,47.368421052631575,51.89473684210526,0.9127789046653144,50,-25.0,25.0,1
2500.0,-3.0,1.263157894736842,50.0,63.1578947368421,52.526315789473685,1.2024048096192383,50,-25.0,25.0,1
2500.0,-3.0,1.5789473684210527,50.0,78.94736842105263,53.1578947368421,1.4851485148514851,50,-25.0,25.0,1
2500.0,-3.0,1.894736842105263,50.0,94.73684210526315,53.78947368421053,1.761252446183953,50,-25.0,25.0,1
2500.0,-3.0,2.2105263157894735,50.0,110.52631578947367,54.421052631578945,2.0309477756286265,50,-25.0,25.0,1
2500.0,-3.0,2.526315789473684,50.0,126.3157894736842,55.05263157894737,2.294455066921606,50,-25.0,25.0,1
2500.0,-3.0,2.8421052631578947,50.0,142.10526315789474,55.68421052631579,2.551984877126654,50,-25.0,25.0,1
2500.0,-3.0,3.1578947368421053,50.0,157.89473684210526,56.31578947368421,2.803738317757009,50,-25.0,25.0,1
2500.0,-3.0,3.4736842105263155,50.0,173.68421052631578,56.94736842105263,3.0499075785582255,50,-25.0,25.0,1
2500.0,-3.0,3.789473684210526,50.0,189.4736842105263,57.578947368421055,3.2906764168190126,50,-25.0,25.0,1
2500.0,-3.0,4.105263157894736,50.0,205.26315789473682,58.21052631578947,3.5262206148282096,50,-25.0,25.0,1
2500.0,-3.0,4.421052631578947,50.0,221.05263157894734,58.84210526315789,3.7567084078711983,50,-25.0,25.0,1
2500.0,-3.0,4.7368421052631575,50.0,236.84210526315786,59.473684210526315,3.9823008849557517,50,-25.0,25.0,1
2500.0,-3.0,5.052631578947368,50.0,252.6315789473684,60.10526315789474,4.203152364273205,50,-25.0,25.0,1
2500.0,-3.0,5.368421052631579,50.0,268.42105263157896,60.73684210526316,4.419410745233969,50,-25.0,25.0,1
2500.0,-3.0,5.684210526315789,50.0,284.2105263157895,61.368421052631575,4.631217838765009,50,-25.0,25.0,1
2500.0,-3.0,6.0,50.0,300.0,62.0,4.838709677419355,50,-25.0,25.0,1
2600.0,-3.08,0.0,50.0,0.0,50.0,0.0,50,-25.0,25.0,1
2600.0,-3.08,0.3157894736842105,50.0,15.789473684210526,50.63157894736842,0.31185031185031187,50,-25.0,25.0,1
2600.0,-3.08,0.631578947368421,50.0,31.57894736842105,51.26315789473684,0.6160164271047227,50,-25.0,25.0,1
2600.0,-3.08,0.9473684210526315,50.0,47.368421052631575,51.89473684210526,0.9127789046653144,50,-25.0,25.0,1
2600.0,-3.08,1.263157894736842,50.0,63.1578947368421,52.526315789473685,1.2024048096192383,50,-25.0,25.0,1
2600.0,-3.08,1.5789473684210527,50.0,78.94736842105263,53.1578947368421,1.4851485148514851,50,-25.0,25.0,1
2600.0,-3.08,1.894736842105263,50.0,94.73684210526315,53.78947368421053,1.761252446183953,50,-25.0,25.0,1
2600.0,-3.08,2.2105263157894735,50.0,110.52631578947367,54.421052631578945,2.0309477756286265,50,-25.0,25.0,1
2600.0,-3.08,2.526315789473684,50.0,126.3157894736842,55.05263157894737,2.294455066921606,50,-25.0,25.0,1
2600.0,-3.08,2.8421052631578947,50.0,142.10526315789474,55.68421052631579,2.551984877126654,50,-25.0,25.0,1
2600.0,-3.08,3.1578947368421053,50.0,157.89473684210526,56.31578947368421,2.803738317757009,50,-25.0,25.0,1
2600.0,-3.08,3.4736842105263155,50.0,173.68421052631578,56.94736842105263,3.0499075785582255,50,-25.0,25.0,1
2600.0,-3.08,3.789473684210526,50.0,189.4736842105263,57.578947368421055,3.2906764168190126,50,-25.0,25.0,1
2600.0,-3.08,4.105263157894736,50.0,205.26315789473682,58.21052631578947,3.5262206148282096,50,-25.0,25.0,1
2600.0,-3.08,4.421052631578947,50.0,221.05263157894734,58.84210526315789,3.7567084078711983,50,-25.0,25.0,1
2600.0,-3.08,4.7368421052631575,50.0,236.84210526315786,59.473684210526315,3.9823008849557517,50,-25.0,25.0,1
2600.0,-3.08,5.052631578947368,50.0,252.6315789473684,60.10526315789474,4.203152364273205,50,-25.0,25.0,1
2600.0,-3.08,5.368421052631579,50.0,268.42105263157896,60.73684210526316,4.419410745233969,50,-25.0,25.0,1
2600.0,-3.08,5.684210526315789,50.0,284.2105263157895,61.368421052631575,4.631217838765009,50,-25.0,25.0,1
2600.0,-3.08,6.0,50.0,300.0,62.0,4.838709677419355,50,-25.0,25.0,1
2700.0,-3.16,0.0,50.0,0.0,50.0,0.0,50,-25.0,25.0,1
2700.0,-3.16,0.3157894736842105,50.0,15.789473684210526,50.63157894736842,0.31185031185031187,50,-25.0,25.0,1
2700.0,-3.16,0.631578947368421,50.0,31.57894736842105,51.26315789473684,0.6160164271047227,50,-25.0,25.0,1
2700.0,-3.16,0.9473684210526315,50.0,47.368421052631575,51.89473684210526,0.9127789046653144,50,-25.0,25.0,1
2700.0,-3.16,1.263157894736842,50.0,63.1578947368421,52.526315789473685,1.2024048096192383,50,-25.0,25.0,1
2700.0,-3.16,1.5789473684210527,50.0,78.94736842105263,53.1578947368421,1.4851485148514851,50,-25.0,25.0,1
2700.0,-3.16,1.894736842105263,50.0,94.73684210526315,53.78947368421053,1.761252446183953,50,-25.0,25.0,1
2700.0,-3.16,2.2105263157894735,50.0,110.52631578947367,54.421052631578945,2.0309477756286265,50,-25.0,25.0,1
2700.0,-3.16,2.526315789473684,50.0,126.3157894736842,55.05263157894737,2.294455066921606,50,-25.0,25.0,1
2700.0,-3.16,2.8421052631578947,50.0,142.10526315789474,55.68421052631579,2.551984877126654,50,-25.0,25.0,1
2700.0,-3.16,3.1578947368421053,50.0,157.89473684210526,56.31578947368421,2.803738317757009,50,-25.0,25.0,1
2700.0,-3.16,3.4736842105263155,50.0,173.68421052631578,56.94736842105263,3.0499075785582255,50,-25.0,25.0,1
2700.0,-3.16,3.789473684210526,50.0,189.4736842105263,57.578947368421055,3.2906764168190126,50,-25.0,25.0,1
2700.0,-3.16,4.105263157894736,50.0,205.26315789473682,58.21052631578947,3.5262206148282096,50,-25.0,25.0,1
2700.0,-3.16,4.421052631578947,50.0,221.05263157894734,58.84210526315789,3.7567084078711983,50,-25.0,25.0,1
2700.0,-3.16,4.7368421052631575,50.0,236.84210526315786,59.473684210526315,3.9823008849557517,50,-25.0,25.0,1
2700.0,-3.16,5.052631578947368,50.0,252.6315789473684,60.10526315789474,4.203152364273205,50,-25.0,25.0,1
2700.0,-3.16,5.368421052631579,50.0,268.42105263157896,60.73684210526316,4.419410745233969,50,-25.0,25.0,1
2700.0,-3.16,5.684210526315789,50.0,284.2105263157895,61.368421052631575,4.631217838765009,50,-25.0,25.0,1
2700.0,-3.16,6.0,50.0,300.0,62.0,4.838709677419355,50,-25.0,25.0,1
2800.0,-3.24,0.0,50.0,0.0,50.0,0.0,50,-25.0,25.0,1
2800.0,-3.24,0.3157894736842105,50.0,15.789473684210526,50.63157894736842,0.31185031185031187,50,-25.0,25.0,1
2800.0,-3.24,0.631578947368421,50.0,31.57894736842105,51.26315789473684,0.6160164271047227,50,-25.0,25.0,1
2800.0,-3.24,0.9473684210526315,50.0,47.368421052631575,51.89473684210526,0.9127789046653144,50,-25.0,25.0,1
2800.0,-3.24,1.263157894736842,50.0,63.1578947368421,52.526315789473685,1.2024048096192383,50,-25.0,25.0,1
2800.0,-3.24,1.5789473684210527,50.0,78.94736842105263,53.1578947368421,1.4851485148514851,50,-25.0,25.0,1
2800.0,-3.24,1.894736842105263,50.0,94.73684210526315,53.78947368421053,1.761252446183953,50,-25.0,25.0,1
2800.0,-3.24,2.2105263157894735,50.0,110.52631578947367,54.421052631578945,2.0309477756286265,50,-25.0,25.0,1
2800.0,-3.24,2.526315789473684,50.0,126.3157894736842,55.05263157894737,2.294455066921606,50,-25.0,25.0,1
2800.0,-3.24,2.8421052631578947,50.0,142.10526315789474,55.68421052631579,2.551984877126654,50,-25.0,25.0,1
2800.0,-3.24,3.1578947368421053,50.0,157.89473684210526,56.31578947368421,2.803738317757009,50,-25.0,25.0,1
2800.0,-3.24,3.4736842105263155,50.0,173.68421052631578,56.94736842105263,3.0499075785582255,50,-25.0,25.0,1
2800.0,-3.24,3.789473684210526,50.0,189.4736842105263,57.578947368421055,3.2906764168190126,50,-25.0,25.0,1
2800.0,-3.24,4.105263157894736,50.0,205.26315789473682,58.21052631578947,3.5262206148282096,50,-25.0,25.0,1
2800.0,-3.24,4.421052631578947,50.0,221.05263157894734,58.84210526315789,3.7567084078711983,50,-25.0,25.0,1
2800.0,-3.24,4.7368421052631575,50.0,236.84210526315786,59.473684210526315,3.9823008849557517,50,-25.0,25.0,1
2800.0,-3.24,5.052631578947368,50.0,252.6315789473684,60.10526315789474,4.203152364273205,50,-25.0,25.0,1
2800.0,-3.24,5.368421052631579,50.0,268.42105263157896,60.73684210526316,4.419410745233969,50,-25.0,25.0,1
2800.0,-3.24,5.684210526315789,50.0,284.2105263157895,61.368421052631575,4.631217838765009,50,-25.0,25.0,1
2800.0,-3.24,6.0,50.0,300.0,62.0,4.838709677419355,50,-25.0,25.0,1
2900.0,-3.3200000000000003,0.0,50.0,0.0,50.0,0.0,50,-25.0,25.0,1
2900.0,-3.3200000000000003,0.3157894736842105,50.0,15.789473684210526,50.63157894736842,0.31185031185031187,50,-25.0,25.0,1
2900.0,-3.3200000000000003,0.631578947368421,50.0,31.57894736842105,51.26315789473684,0.6160164271047227,50,-25.0,25.0,1
2900.0,-3.3200000000000003,0.9473684210526315,50.0,47.368421052631575,51.89473684210526,0.9127789046653144,50,-25.0,25.0,1
2900.0,-3.3200000000000003,1.263157894736842,50.0,63.1578947368421,52.526315789473685,1.2024048096192383,50,-25.0,25.0,1
2900.0,-3.3200000000000003,1.5789473684210527,50.0,78.94736842105263,53.1578947368421,1.4851485148514851,50,-25.0,25.0,1
2900.0,-3.3200000000000003,1.894736842105263,50.0,94.73684210526315,53.78947368421053,1.761252446183953,50,-25.0,25.0,1
2900.0,-3.3200000000000003,2.2105263157894735,50.0,110.52631578947367,54.421052631578945,2.0309477756286265,50,-25.0,25.0,1
2900.0,-3.3200000000000003,2.526315789473684,50.0,126.3157894736842,55.05263157894737,2.294455066921606,50,-25.0,25.0,1
2900.0,-3.3200000000000003,2.8421052631578947,50.0,142.10526315789474,55.68421052631579,2.551984877126654,50,-25.0,25.0,1
2900.0,-3.3200000000000003,3.1578947368421053,50.0,157.89473684210526,56.31578947368421,2.803738317757009,50,-25.0,25.0,1
2900.0,-3.3200000000000003,3.4736842105263155,50.0,173.68421052631578,56.94736842105263,3.0499075785582255,50,-25.0,25.0,1
2900.0,-3.3200000000000003,3.789473684210526,50.0,189.4736842105263,57.578947368421055,3.2906764168190126,50,-25.0,25.0,1
2900.0,-3.3200000000000003,4.105263157894736,50.0,205.26315789473682,58.21052631578947,3.5262206148282096,50,-25.0,25.0,1
2900.0,-3.3200000000000003,4.421052631578947,50.0,221.05263157894734,58.84210526315789,3.7567084078711983,50,-25.0,25.0,1
2900.0,-3.3200000000000003,4.7368421052631575,50.0,236.84210526315786,59.473684210526315,3.9823008849557517,50,-25.0,25.0,1
2900.0,-3.3200000000000003,5.052631578947368,50.0,252.6315789473684,60.10526315789474,4.203152364273205,50,-25.0,25.0,1
2900.0,-3.3200000000000003,5.368421052631579,50.0,268.42105263157896,60.73684210526316,4.419410745233969,50,-25.0,25.0,1
2900.0,-3.3200000000000003,5.684210526315789,50.0,284.2105263157895,61.368421052631575,4.631217838765009,50,-25.0,25.0,1
2900.0,-3.3200000000000003,6.0,50.0,300.0,62.0,4.838709677419355,50,-25.0,25.0,1
3000.0,-3.4,0.0,50.0,0.0,50.0,0.0,50,-25.0,25.0,1
3000.0,-3.4,0.3157894736842105,50.0,15.789473684210526,50.63157894736842,0.31185031185031187,50,-25.0,25.0,1
3000.0,-3.4,0.631578947368421,50.0,31.57894736842105,51.26315789473684,0.6160164271047227,50,-25.0,25.0,1
3000.0,-3.4,0.9473684210526315,50.0,47.368421052631575,51.89473684210526,0.9127789046653144,50,-25.0,25.0,1
3000.0,-3.4,1.263157894736842,50.0,63.1578947368421,52.526315789473685,1.2024048096192383,50,-25.0,25.0,1
3000.0,-3.4,1.5789473684210527,50.0,78.94736842105263,53.1578947368421,1.4851485148514851,50,-25.0,25.0,1
3000.0,-3.4,1.894736842105263,50.0,94.73684210526315,53.78947368421053,1.761252446183953,50,-25.0,25.0,1
3000.0,-3.4,2.2105263157894735,50.0,110.52631578947367,54.421052631578945,2.0309477756286265,50,-25.0,25.0,1
3000.0,-3.4,2.526315789473684,50.0,126.3157894736842,55.05263157894737,2.294455066921606,50,-25.0,25.0,1
3000.0,-3.4,2.8421052631578947,50.0,142.10526315789474,55.68421052631579,2.551984877126654,50,-25.0,25.0,1
3000.0,-3.4,3.1578947368421053,50.0,157.89473684210526,56.31578947368421,2.803738317757009,50,-25.0,25.0,1
3000.0,-3.4,3.4736842105263155,50.0,173.68421052631578,56.94736842105263,3.0499075785582255,50,-25.0,25.0,1
3000.0,-3.4,3.789473684210526,50.0,189.4736842105263,57.578947368421055,3.2906764168190126,50,-25.0,25.0,1
3000.0,-3.4,4.105263157894736,50.0,205.26315789473682,58.21052631578947,3.5262206148282096,50,-25.0,25.0,1
3000.0,-3.4,4.421052631578947,50.0,221.05263157894734,58.84210526315789,3.7567084078711983,50,-25.0,25.0,1
3000.0,-3.4,4.7368421052631575,50.0,236.84210526315786,59.473684210526315,3.9823008849557517,50,-25.0,25.0,1
3000.0,-3.4,5.052631578947368,50.0,252.6315789473684,60.10526315789474,4.203152364273205,50,-25.0,25.0,1
3000.0,-3.4,5.368421052631579,50.0,268.42105263157896,60.73684210526316,4.419410745233969,50,-25.0,25.0,1
3000.0,-3.4,5.684210526315789,50.0,284.2105263157895,61.368421052631575,4.631217838765009,50,-25.0,25.0,1
3000.0,-3.4,6.0,50.0,300.0,62.0,4.838709677419355,50,-25.0,25.0,1
3100.0,-3.48,0.0,50.0,0.0,50.0,0.0,50,-25.0,25.0,1
3100.0,-3.48,0.3157894736842105,50.0,15.789473684210526,50.63157894736842,0.31185031185031187,50,-25.0,25.0,1
3100.0,-3.48,0.631578947368421,50.0,31.57894736842105,51.26315789473684,0.6160164271047227,50,-25.0,25.0,1
3100.0,-3.48,0.9473684210526315,50.0,47.368421052631575,51.89473684210526,0.9127789046653144,50,-25.0,25.0,1
3100.0,-3.48,1.263157894736842,50.0,63.1578947368421,52.526315789473685,1.2024048096192383,50,-25.0,25.0,1
3100.0,-3.48,1.5789473684210527,50.0,78.94736842105263,53.1578947368421,1.4851485148514851,50,-25.0,25.0,1
3100.0,-3.48,1.894736842105263,50.0,94.73684210526315,53.78947368421053,1.761252446183953,50,-25.0,25.0,1
3100.0,-3.48,2.2105263157894735,50.0,110.52631578947367,54.421052631578945,2.0309477756286265,50,-25.0,25.0,1
3100.0,-3.48,2.526315789473684,50.0,126.3157894736842,55.05263157894737,2.294455066921606,50,-25.0,25.0,1
3100.0,-3.48,2.8421052631578947,50.0,142.10526315789474,55.68421052631579,2.551984877126654,50,-25.0,25.0,1
3100.0,-3.48,3.1578947368421053,50.0,157.89473684210526,56.31578947368421,2.803738317757009,50,-25.0,25.0,1
3100.0,-3.48,3.4736842105263155,50.0,173.68421052631578,56.94736842105263,3.0499075785582255,50,-25.0,25.0,1
3100.0,-3.48,3.789473684210526,50.0,189.4736842105263,57.578947368421055,3.2906764168190126,50,-25.0,25.0,1
3100.0,-3.48,4.105263157894736,50.0,205.26315789473682,58.21052631578947,3.5262206148282096,50,-25.0,25.0,1
3100.0,-3.48,4.421052631578947,50.0,221.05263157894734,58.84210526315789,3.7567084078711983,50,-25.0,25.0,1
3100.0,-3.48,4.7368421052631575,50.0,236.84210526315786,59.473684210526315,3.9823008849557517,50,-25.0,25.0,1
3100.0,-3.48,5.052631578947368,50.0,252.6315789473684,60.10526315789474,4.203152364273205,50,-25.0,25.0,1
3100.0,-3.48,5.368421052631579,50.0,268.42105263157896,60.73684210526316,4.419410745233969,50,-25.0,25.0,1
3100.0,-3.48,5.684210526315789,50.0,284.2105263157895,61.368421052631575,4.631217838765009,50,-25.0,25.0,1
3100.0,-3.48,6.0,50.0,300.0,62.0,4.838709677419355,50,-25.0,25.0,1
3200.0,-3.56,0.0,50.0,0.0,50.0,0.0,50,-25.0,25.0,1
3200.0,-3.56,0.3157894736842105,50.0,15.789473684210526,50.63157894736842,0.31185031185031187,50,-25.0,25.0,1
3200.0,-3.56,0.631578947368421,50.0,31.57894736842105,51.26315789473684,0.6160164271047227,50,-25.0,25.0,1
3200.0,-3.56,0.9473684210526315,50.0,47.368421052631575,51.89473684210526,0.9127789046653144,50,-25.0,25.0,1
3200.0,-3.56,1.263157894736842,50.0,63.1578947368421,52.526315789473685,1.2024048096192383,50,-25.0,25.0,1
3200.0,-3.56,1.5789473684210527,50.0,78.94736842105263,53.1578947368421,1.4851485148514851,50,-25.0,25.0,1
3200.0,-3.56,1.894736842105263,50.0,94.73684210526315,53.78947368421053,1.761252446183953,50,-25.0,25.0,1
3200.0,-3.56,2.2105263157894735,50.0,110.52631578947367,54.421052631578945,2.0309477756286265,50,-25.0,25.0,1
3200.0,-3.56,2.526315789473684,50.0,126.3157894736842,55.05263157894737,2.294455066921606,50,-25.0,25.0,1
3200.0,-3.56,2.8421052631578947,50.0,142.10526315789474,55.68421052631579,2.551984877126654,50,-25.0,25.0,1
3200.0,-3.56,3.1578947368421053,50.0,157.89473684210526,56.31578947368421,2.803738317757009,50,-25.0,25.0,1
3200.0,-3.56,3.4736842105263155,50.0,173.68421052631578,56.94736842105263,3.0499075785582255,50,-25.0,25.0,1
3200.0,-3.56,3.789473684210526,50.0,189.4736842105263,57.578947368421055,3.2906764168190126,50,-25.0,25.0,1
3200.0,-3.56,4.105263157894736,50.0,205.26315789473682,58.21052631578947,3.5262206148282096,50,-25.0,25.0,1
3200.0,-3.56,4.421052631578947,50.0,221.05263157894734,58.84210526315789,3.7567084078711983,50,-25.0,25.0,1
3200.0,-3.56,4.7368421052631575,50.0,236.84210526315786,59.473684210526315,3.9823008849557517,50,-25.0,25.0,1
3200.0,-3.56,5.052631578947368,50.0,252.6315789473684,60.10526315789474,4.203152364273205,50,-25.0,25.0,1
3200.0,-3.56,5.368421052631579,50.0,268.42105263157896,60.73684210526316,4.419410745233969,50,-25.0,25.0,1
3200.0,-3.56,5.684210526315789,50.0,284.2105263157895,61.368421052631575,4.631217838765009,50,-25.0,25.0,1
3200.0,-3.56,6.0,50.0,300.0,62.0,4.838709677419355,50,-25.0,25.0,1
3300.0,-3.64,0.0,50.0,0.0,50.0,0.0,50,-25.0,25.0,1
3300.0,-3.64,0.3157894736842105,50.0,15.789473684210526,50.63157894736842,0.31185031185031187,50,-25.0,25.0,1
3300.0,-3.64,0.631578947368421,50.0,31.57894736842105,51.26315789473684,0.6160164271047227,50,-25.0,25.0,1
3300.0,-3.64,0.9473684210526315,50.0,47.368421052631575,51.89473684210526,0.9127789046653144,50,-25.0,25.0,1
3300.0,-3.64,1.263157894736842,50.0,63.1578947368421,52.526315789473685,1.2024048096192383,50,-25.0,25.0,1
3300.0,-3.64,1.5789473684210527,50.0,78.94736842105263,53.1578947368421,1.4851485148514851,50,-25.0,25.0,1
3300.0,-3.64,1.894736842105263,50.0,94.73684210526315,53.78947368421053,1.761252446183953,50,-25.0,25.0,1
3300.0,-3.64,2.2105263157894735,50.0,110.52631578947367,54.421052631578945,2.0309477756286265,50,-25.0,25.0,1
3300.0,-3.64,2.526315789473684,50.0,126.3157894736842,55.05263157894737,2.294455066921606,50,-25.0,25.0,1
3300.0,-3.64,2.8421052631578947,50.0,142.10526315789474,55.68421052631579,2.551984877126654,50,-25.0,25.0,1
3300.0,-3.64,3.1578947368421053,50.0,157.89473684210526,56.31578947368421,2.803738317757009,50,-25.0,25.0,1
3300.0,-3.64,3.4736842105263155,50.0,173.68421052631578,56.94736842105263,3.0499075785582255,50,-25.0,25.0,1
3300.0,-3.64,3.789473684210526,50.0,189.4736842105263,57.578947368421055,3.2906764168190126,50,-25.0,25.0,1
3300.0,-3.64,4.105263157894736,50.0,205.26315789473682,58.21052631578947,3.5262206148282096,50,-25.0,25.0,1
3300.0,-3.64,4.421052631578947,50.0,221.05263157894734,58.84210526315789,3.7567084078711983,50,-25.0,25.0,1
3300.0,-3.64,4.7368421052631575,50.0,236.84210526315786,59.473684210526315,3.9823008849557517,50,-25.0,25.0,1
3300.0,-3.64,5.052631578947368,50.0,252.6315789473684,60.10526315789474,4.203152364273205,50,-25.0,25.0,1
3300.0,-3.64,5.368421052631579,50.0,268.42105263157896,60.73684210526316,4.419410745233969,50,-25.0,25.0,1
3300.0,-3.64,5.684210526315789,50.0,284.2105263157895,61.368421052631575,4.631217838765009,50,-25.0,25.0,1
3300.0,-3.64,6.0,50.0,300.0,62.0,4.838709677419355,50,-25.0,25.0,1
3400.0,-3.72,0.0,50.0,0.0,50.0,0.0,50,-25.0,25.0,1
3400.0,-3.72,0.3157894736842105,50.0,15.789473684210526,50.63157894736842,0.31185031185031187,50,-25.0,25.0,1
3400.0,-3.72,0.631578947368421,50.0,31.57894736842105,51.26315789473684,0.6160164271047227,50,-25.0,25.0,1
3400.0,-3.72,0.9473684210526315,50.0,47.368421052631575,51.89473684210526,0.9127789046653144,50,-25.0,25.0,1
3400.0,-3.72,1.263157894736842,50.0,63.1578947368421,52.526315789473685,1.2024048096192383,50,-25.0,25.0,1
3400.0,-3.72,1.5789473684210527,50.0,78.94736842105263,53.1578947368421,1.4851485148514851,50,-25.0,25.0,1
3400.0,-3.72,1.894736842105263,50.0,94.73684210526315,53.78947368421053,1.761252446183953,50,-25.0,25.0,1
3400.0,-3.72,2.2105263157894735,50.0,110.52631578947367,54.421052631578945,2.0309477756286265,50,-25.0,25.0,1
3400.0,-3.72,2.526315789473684,50.0,126.3157894736842,55.05263157894737,2.294455066921606,50,-25.0,25.0,1
3400.0,-3.72,2.8421052631578947,50.0,142.10526315789474,55.68421052631579,2.551984877126654,50,-25.0,25.0,1
3400.0,-3.72,3.1578947368421053,50.0,157.89473684210526,56.31578947368421,2.803738317757009,50,-25.0,25.0,1
3400.0,-3.72,3.4736842105263155,50.0,173.68421052631578,56.94736842105263,3.0499075785582255,50,-25.0,25.0,1
3400.0,-3.72,3.789473684210526,50.0,189.4736842105263,57.578947368421055,3.2906764168190126,50,-25.0,25.0,1
3400.0,-3.72,4.105263157894736,50.0,205.26315789473682,58.21052631578947,3.5262206148282096,50,-25.0,25.0,1
3400.0,-3.72,4.421052631578947,50.0,221.05263157894734,58.84210526315789,3.7567084078711983,50,-25.0,25.0,1
3400.0,-3.72,4.7368421052631575,50.0,236.84210526315786,59.473684210526315,3.9823008849557517,50,-25.0,25.0,1
3400.0,-3.72,5.052631578947368,50.0,252.6315789473684,60.10526315789474,4.203152364273205,50,-25.0,25.0,1
3400.0,-3.72,5.368421052631579,50.0,268.42105263157896,60.73684210526316,4.419410745233969,50,-25.0,25.0,1
3400.0,-3.72,5.684210526315789,50.0,284.2105263157895,61.368421052631575,4.631217838765009,50,-25.0,25.0,1
3400.0,-3.72,6.0,50.0,300.0,62.0,4.838709677419355,50,-25.0,25.0,1
3500.0,-3.8000000000000003,0.0,50.0,0.0,50.0,0.0,50,-25.0,25.0,1
3500.0,-3.8000000000000003,0.3157894736842105,50.0,15.789473684210526,50.63157894736842,0.31185031185031187,50,-25.0,25.0,1
3500.0,-3.8000000000000003,0.631578947368421,50.0,31.57894736842105,51.26315789473684,0.6160164271047227,50,-25.0,25.0,1
3500.0,-3.8000000000000003,0.9473684210526315,50.0,47.368421052631575,51.89473684210526,0.9127789046653144,50,-25.0,25.0,1
3500.0,-3.8000000000000003,1.263157894736842,50.0,63.1578947368421,52.526315789473685,1.2024048096192383,50,-25.0,25.0,1
3500.0,-3.8000000000000003,1.5789473684210527,50.0,78.94736842105263,53.1578947368421,1.4851485148514851,50,-25.0,25.0,1
